<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.06	04:00:00	109.824	109.969	109.814	109.936	6950	0	1
2018.06.06	08:00:00	109.936	110.146	109.857	110.057	18237	0	1
2018.06.06	12:00:00	110.059	110.228	110.045	110.089	11247	0	1
2018.06.06	16:00:00	110.089	110.134	109.890	110.121	13797	0	1
2018.06.06	20:00:00	110.121	110.264	110.090	110.177	6149	0	1
2018.06.07	00:00:00	110.176	110.220	110.088	110.152	12192	0	1
2018.06.07	04:00:00	110.152	110.172	109.864	109.901	11933	0	1
2018.06.07	08:00:00	109.901	110.066	109.841	109.941	11864	0	1
2018.06.07	12:00:00	109.941	110.090	109.893	109.987	9611	0	1
2018.06.07	16:00:00	109.987	110.044	109.701	109.774	16278	0	1
2018.06.07	20:00:00	109.774	109.779	109.472	109.690	17706	0	1
2018.06.08	00:00:00	109.683	109.831	109.604	109.798	9695	0	1
2018.06.08	04:00:00	109.798	109.851	109.633	109.653	9164	0	1
2018.06.08	08:00:00	109.653	109.729	109.295	109.319	22440	0	1
2018.06.08	12:00:00	109.319	109.499	109.197	109.495	14991	0	1
2018.06.08	16:00:00	109.495	109.600	109.334	109.495	10106	0	1
2018.06.08	20:00:00	109.495	109.549	109.397	109.543	5612	0	1
2018.06.11	00:00:00	109.292	109.536	109.292	109.446	9389	0	1
2018.06.11	04:00:00	109.445	109.834	109.397	109.791	13966	0	1
2018.06.11	08:00:00	109.791	110.070	109.752	109.959	12341	0	1
2018.06.11	12:00:00	109.959	110.048	109.902	109.903	8473	0	1
2018.06.11	16:00:00	109.903	110.051	109.843	110.011	8523	0	1
2018.06.11	20:00:00	110.011	110.116	110.003	110.032	4571	0	1
2018.06.12	00:00:00	110.032	110.492	109.955	110.315	21539	0	1
2018.06.12	04:00:00	110.315	110.431	110.126	110.384	15951	0	1
2018.06.12	08:00:00	110.384	110.436	110.139	110.219	16614	0	1
2018.06.12	12:00:00	110.219	110.423	110.098	110.277	10983	0	1
2018.06.12	16:00:00	110.277	110.299	110.157	110.258	8988	0	1
2018.06.12	20:00:00	110.258	110.488	110.250	110.364	9319	0	1
2018.06.13	00:00:00	110.359	110.540	110.352	110.469	14131	0	1
2018.06.13	04:00:00	110.469	110.686	110.460	110.637	6506	0	1
2018.06.13	08:00:00	110.637	110.716	110.542	110.621	8890	0	1
2018.06.13	12:00:00	110.621	110.652	110.462	110.477	6230	0	1
2018.06.13	16:00:00	110.477	110.481	110.340	110.399	7170	0	1
2018.06.13	20:00:00	110.399	110.845	110.270	110.331	23484	0	1
2018.06.14	00:00:00	110.315	110.364	110.082	110.298	11789	0	1
2018.06.14	04:00:00	110.298	110.349	110.159	110.191	7168	0	1
2018.06.14	08:00:00	110.191	110.193	109.917	109.950	10345	0	1
2018.06.14	12:00:00	109.950	110.226	109.923	110.169	17504	0	1
2018.06.14	16:00:00	110.169	110.493	110.162	110.438	17246	0	1
2018.06.14	20:00:00	110.438	110.692	110.412	110.619	8118	0	1
2018.06.15	00:00:00	110.612	110.692	110.491	110.564	15342	0	1
2018.06.15	04:00:00	110.564	110.795	110.453	110.749	10270	0	1
2018.06.15	08:00:00	110.749	110.903	110.383	110.506	16613	0	1
2018.06.15	12:00:00	110.506	110.730	110.435	110.492	15958	0	1
2018.06.15	16:00:00	110.492	110.650	110.412	110.590	17622	0	1
2018.06.15	20:00:00	110.590	110.678	110.532	110.659	5451	0	1
2018.06.18	00:00:00	110.683	110.733	110.468	110.552	8479	0	1
2018.06.18	04:00:00	110.552	110.552	110.298	110.500	6392	0	1
2018.06.18	08:00:00	110.500	110.615	110.441	110.528	7904	0	1
2018.06.18	12:00:00	110.529	110.578	110.417	110.466	7888	0	1
2018.06.18	16:00:00	110.466	110.523	110.376	110.462	8674	0	1
2018.06.18	20:00:00	110.462	110.593	110.462	110.538	4113	0	1
2018.06.19	00:00:00	110.538	110.571	110.022	110.115	21758	0	1
2018.06.19	04:00:00	110.115	110.157	109.677	109.717	14908	0	1
2018.06.19	08:00:00	109.717	109.847	109.549	109.836	24127	0	1
2018.06.19	12:00:00	109.836	109.949	109.785	109.902	13821	0	1
2018.06.19	16:00:00	109.902	110.097	109.705	109.951	17959	0	1
2018.06.19	20:00:00	109.951	110.100	109.865	110.049	7062	0	1
2018.06.20	00:00:00	110.060	110.140	109.982	110.002	17297	0	1
2018.06.20	04:00:00	110.002	110.200	109.852	110.159	12298	0	1
2018.06.20	08:00:00	110.159	110.249	110.079	110.110	13609	0	1
2018.06.20	12:00:00	110.110	110.157	109.993	110.034	7717	0	1
2018.06.20	16:00:00	110.034	110.248	109.948	110.196	18037	0	1
2018.06.20	20:00:00	110.196	110.450	110.160	110.354	6086	0	1
