<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.15	04:00:00	2.01099	2.01196	2.01029	2.01180	3759	0	10
2026.01.15	05:00:00	2.01180	2.01388	2.01162	2.01228	3343	0	10
2026.01.15	06:00:00	2.01229	2.01261	2.01099	2.01123	2817	0	10
2026.01.15	07:00:00	2.01122	2.01173	2.01051	2.01093	3244	0	10
2026.01.15	08:00:00	2.01093	2.01118	2.00899	2.00954	3640	0	10
2026.01.15	09:00:00	2.00954	2.01174	2.00924	2.01023	3730	0	10
2026.01.15	10:00:00	2.01017	2.01084	2.00825	2.00826	3881	0	10
2026.01.15	11:00:00	2.00823	2.00830	2.00641	2.00670	3664	0	10
2026.01.15	12:00:00	2.00674	2.00693	2.00285	2.00336	3483	0	10
2026.01.15	13:00:00	2.00338	2.00446	2.00320	2.00348	2958	0	10
2026.01.15	14:00:00	2.00348	2.00416	2.00305	2.00357	2921	0	10
2026.01.15	15:00:00	2.00358	2.00408	2.00179	2.00257	4515	0	10
2026.01.15	16:00:00	2.00253	2.00288	2.00017	2.00021	4491	0	10
2026.01.15	17:00:00	2.00024	2.00034	1.99754	1.99785	4338	0	10
2026.01.15	18:00:00	1.99788	1.99793	1.99536	1.99634	4041	0	10
2026.01.15	19:00:00	1.99635	1.99716	1.99521	1.99653	3476	0	10
2026.01.15	20:00:00	1.99660	1.99709	1.99609	1.99688	3103	0	10
2026.01.15	21:00:00	1.99689	1.99752	1.99633	1.99711	3659	0	10
2026.01.15	22:00:00	1.99710	1.99757	1.99668	1.99703	3035	0	12
2026.01.15	23:00:00	1.99696	1.99767	1.99573	1.99586	1831	0	30
2026.01.16	00:00:00	1.99586	1.99772	1.99450	1.99579	1221	0	88
2026.01.16	01:00:00	1.99612	1.99727	1.99547	1.99681	1982	0	10
2026.01.16	02:00:00	1.99682	1.99726	1.99623	1.99716	2868	0	10
2026.01.16	03:00:00	1.99719	1.99771	1.99591	1.99762	3704	0	10
2026.01.16	04:00:00	1.99765	1.99866	1.99715	1.99774	3558	0	12
2026.01.16	05:00:00	1.99776	1.99776	1.99631	1.99735	2901	0	10
2026.01.16	06:00:00	1.99733	1.99753	1.99621	1.99647	2179	0	12
2026.01.16	07:00:00	1.99647	1.99738	1.99614	1.99692	2659	0	10
2026.01.16	08:00:00	1.99694	1.99795	1.99658	1.99692	3015	0	10
2026.01.16	09:00:00	1.99690	1.99843	1.99676	1.99843	3225	0	10
2026.01.16	10:00:00	1.99846	1.99873	1.99731	1.99838	3484	0	10
2026.01.16	11:00:00	1.99841	1.99999	1.99750	1.99891	3182	0	10
2026.01.16	12:00:00	1.99893	1.99986	1.99842	1.99898	3335	0	10
2026.01.16	13:00:00	1.99895	2.00014	1.99828	1.99996	3124	0	10
2026.01.16	14:00:00	1.99997	2.00038	1.99853	2.00002	3557	0	10
2026.01.16	15:00:00	2.00002	2.00355	1.99934	2.00211	3919	0	10
2026.01.16	16:00:00	2.00211	2.00402	2.00188	2.00360	4018	0	10
2026.01.16	17:00:00	2.00362	2.00418	2.00137	2.00274	5010	0	10
2026.01.16	18:00:00	2.00272	2.00351	2.00225	2.00278	4314	0	10
2026.01.16	19:00:00	2.00277	2.00346	2.00201	2.00234	3935	0	10
2026.01.16	20:00:00	2.00235	2.00277	2.00161	2.00211	3293	0	10
2026.01.16	21:00:00	2.00212	2.00261	2.00167	2.00198	3080	0	10
2026.01.16	22:00:00	2.00199	2.00228	2.00127	2.00136	2322	0	10
2026.01.16	23:00:00	2.00139	2.00212	1.99980	1.99980	1783	0	31
2026.01.19	00:00:00	1.99883	2.00118	1.99804	2.00113	1373	0	122
2026.01.19	01:00:00	2.00116	2.00449	2.00083	2.00390	4796	0	38
2026.01.19	02:00:00	2.00389	2.00491	2.00195	2.00247	4355	0	10
2026.01.19	03:00:00	2.00245	2.00461	2.00120	2.00354	4100	0	10
2026.01.19	04:00:00	2.00356	2.00377	2.00215	2.00273	3530	0	10
2026.01.19	05:00:00	2.00274	2.00324	2.00149	2.00192	3359	0	10
2026.01.19	06:00:00	2.00192	2.00231	2.00110	2.00165	2972	0	10
2026.01.19	07:00:00	2.00166	2.00217	1.99968	2.00037	3448	0	10
2026.01.19	08:00:00	2.00038	2.00155	2.00018	2.00137	3115	0	10
2026.01.19	09:00:00	2.00136	2.00272	2.00036	2.00136	3793	0	10
2026.01.19	10:00:00	2.00135	2.00272	2.00007	2.00261	3819	0	10
2026.01.19	11:00:00	2.00261	2.00322	2.00056	2.00169	3882	0	10
2026.01.19	12:00:00	2.00167	2.00189	2.00004	2.00129	3265	0	10
2026.01.19	13:00:00	2.00130	2.00138	1.99984	2.00029	2826	0	10
2026.01.19	14:00:00	2.00029	2.00074	1.99950	1.99974	3175	0	10
2026.01.19	15:00:00	1.99967	2.00071	1.99955	2.00036	3096	0	10
2026.01.19	16:00:00	2.00034	2.00108	1.99983	2.00017	3358	0	10
2026.01.19	17:00:00	2.00018	2.00090	1.99898	1.99989	3601	0	10
2026.01.19	18:00:00	1.99977	2.00086	1.99924	1.99966	3017	0	10
2026.01.19	19:00:00	1.99968	2.00018	1.99931	1.99972	2551	0	10
2026.01.19	20:00:00	1.99970	2.00028	1.99959	1.99990	1866	0	12
2026.01.19	21:00:00	1.99990	2.00008	1.99947	1.99960	1090	0	12
2026.01.19	22:00:00	1.99960	2.00001	1.99929	1.99953	1203	0	14
2026.01.19	23:00:00	1.99950	1.99988	1.99805	1.99805	1389	0	32
2026.01.20	00:00:00	1.99724	1.99996	1.99657	1.99896	1470	0	41
2026.01.20	01:00:00	1.99903	1.99998	1.99699	1.99994	2032	0	14
2026.01.20	02:00:00	1.99994	1.99998	1.99823	1.99972	3016	0	10
2026.01.20	03:00:00	1.99971	2.00055	1.99903	2.00002	3865	0	10
2026.01.20	04:00:00	2.00002	2.00040	1.99854	1.99870	3280	0	10
2026.01.20	05:00:00	1.99869	1.99871	1.99675	1.99701	3283	0	10
2026.01.20	06:00:00	1.99703	1.99750	1.99417	1.99474	3099	0	10
2026.01.20	07:00:00	1.99476	1.99573	1.99445	1.99534	3262	0	10
2026.01.20	08:00:00	1.99536	1.99664	1.99428	1.99557	3757	0	10
2026.01.20	09:00:00	1.99556	1.99945	1.99405	1.99809	4280	0	10
